freight_id,uf,city,de_type,vehicle,driver_id,company_id,price_por_dia,contract_days,foi_cancelada,atuacao_falcon
132128,RS,Gravataí,Coleta/Entrega,Bitrem,89108.0,1078,375.0,1,nao,nao
132132,RS,Cachoeirinha,Ajudante,,306061.0,642,150.0,1,nao,nao
132134,PR,Curitiba,Coleta/Entrega,Bitrem,48682.0,3467,375.0,3,nao,nao
132141,GO,Goiânia,Ajudante,,,3378,200.0,1,nao,nao
132158,RS,Estrela,Diária,Vanderleia,48424.0,131,305.0,29,nao,nao
132159,SP,Paulínia,Ajudante,,,1817,250.0,1,sim,nao
132161,GO,Aparecida de Goiânia,Ajudante,,,2366,100.0,1,sim,sim
132166,PR,Curitiba,Diária,Carreta,11849.0,446,299.9,30,nao,nao
132167,PR,Curitiba,Diária,Carreta,131483.0,446,305.0,33,nao,nao
132168,PR,Curitiba,Diária,Carreta,9440.0,446,305.0,29,nao,nao
132177,SP,Sumaré,Diária,Carreta,,229,305.0,3,sim,nao
132180,SP_RM,Mauá,Diária,Carreta,29029.0,229,305.0,3,nao,nao
132188,SP_RM,Embu das Artes,Diária,Carreta,,948,305.0,14,sim,nao
132189,SP_RM,Embu das Artes,Diária,Carreta,30078.0,948,305.0,34,nao,nao
132211,SP_RM,Barueri,Diária,Carreta,160380.0,3746,372.0,9,nao,nao
132225,SP_RM,São Paulo,Diária,Truck,54297.0,1304,260.0,1,nao,nao
132226,SP_RM,Barueri,Diária,Carreta,,3746,372.0,3,sim,nao
132236,MG,Sete Lagoas,Diária,Carreta,67602.0,3226,305.0,15,nao,nao
132238,SP,Salto,Coleta/Entrega,Vanderleia,150866.0,1886,305.0,26,nao,nao
132251,SP_RM,Mogi das Cruzes,Diária,Carreta,57325.0,159,340.0,19,nao,nao
132259,SP_RM,Barueri,Diária,Carreta,,2030,305.0,3,sim,nao
132278,PR,Ponta Grossa,Diária,Vanderleia,30797.0,309,305.0,12,nao,nao
132295,PR,Curitiba,Diária,Carreta,254629.0,446,301.52272727272725,44,nao,nao
132296,PR,Curitiba,Diária,Carreta,130315.0,446,305.0,31,nao,nao
132304,SP_RM,São Paulo,Ajudante,,222738.0,2230,130.0,1,nao,nao
132315,BA,Simões Filho,Diária,Carreta,70947.0,229,355.0,43,nao,nao
132316,BA,Simões Filho,Diária,Carreta,172516.0,229,355.0,17,nao,nao
132317,BA,Simões Filho,Diária,Carreta,200910.0,229,355.0,20,nao,nao
132326,RJ,Rio de Janeiro,Coleta/Entrega,Toco,281613.0,3344,230.0,13,nao,nao
132327,RJ,Rio de Janeiro,Coleta/Entrega,Toco,286659.0,3344,199.33333333333334,15,nao,nao
132328,SP_RM,São Paulo,Diária,Carreta,158561.0,3130,500.6666666666667,9,nao,nao
132329,SP_RM,São Paulo,Coleta/Entrega,Utilitários,,3479,160.0,1,sim,nao
132345,SP_RM,Barueri,Diária,Carreta,164177.0,3746,372.0,15,nao,nao
132346,SP_RM,Barueri,Diária,Carreta,137684.0,3746,372.0,22,nao,nao
132347,SP_RM,Barueri,Diária,Carreta,245801.0,3746,372.0,16,nao,nao
132365,SP,Sumaré,Coleta/Entrega,Truck,109243.0,3718,260.0,5,nao,nao
132371,SC,Joinville,Ajudante,,276027.0,3672,97.22222222222223,9,nao,nao
132375,SP,Jundiaí,Coleta/Entrega,Truck,,1288,260.0,3,sim,nao
132376,SP,Jundiaí,Coleta/Entrega,Truck,,1288,234.0,10,sim,nao
132377,MG,Contagem,Diária,Vanderleia,14822.0,1360,305.0,29,nao,nao
132378,SP_RM,Guarulhos,Diária,Vanderleia,,1360,305.0,5,sim,nao
132381,SP_RM,São Paulo,Coleta/Entrega,3/4,107881.0,2357,231.0,5,nao,sim
132385,SP_RM,São Paulo,Coleta/Entrega,3/4,231574.0,2357,205.0,11,nao,nao
132386,SP_RM,São Paulo,Coleta/Entrega,3/4,193842.0,2357,225.5,10,nao,nao
132388,SP_RM,São Paulo,Coleta/Entrega,3/4,241766.0,425,240.0,38,nao,nao
132391,SP_RM,São Paulo,Coleta/Entrega,3/4,85363.0,2357,225.5,10,nao,nao
132392,SP_RM,São Paulo,Coleta/Entrega,3/4,,2357,225.5,10,sim,nao
132393,SP_RM,São Paulo,Coleta/Entrega,Toco,,425,200.0,5,sim,nao
132396,MG,Contagem,Coleta/Entrega,Bitrenzão,13373.0,1360,375.0,7,nao,nao
132397,SC,Balneário Camboriú,Ajudante,,229536.0,3751,124.5,2,nao,nao
132398,MG,Contagem,Coleta/Entrega,Manobrista,289117.0,1360,265.0,2,nao,nao
132400,SP,Sorocaba,Diária,Carreta,,276,372.0,1,sim,nao
132403,SP_RM,São Paulo,Coleta/Entrega,Toco,124239.0,2230,230.0,2,nao,sim
132405,SP_RM,São Paulo,Coleta/Entrega,Truck,289960.0,425,307.3333333333333,9,nao,nao
132411,SP_RM,Barueri,Coleta/Entrega,3/4,205359.0,443,220.0,17,nao,nao
132412,SP_RM,Barueri,Coleta/Entrega,3/4,62161.0,443,220.0,19,nao,nao
132413,SP_RM,Barueri,Coleta/Entrega,3/4,160045.0,443,220.0,14,nao,nao
132414,SP_RM,Barueri,Coleta/Entrega,3/4,85848.0,443,220.0,11,nao,nao
132416,SP,Piracicaba,Coleta/Entrega,Bitrenzão,237554.0,1360,375.0,5,nao,nao
132417,SP_RM,Barueri,Coleta/Entrega,Toco,190259.0,443,230.0,17,nao,nao
132418,SP_RM,Barueri,Coleta/Entrega,Toco,75522.0,443,230.0,10,nao,nao
132419,SP,Piracicaba,Coleta/Entrega,Bitrenzão,10205.0,1360,375.0,2,nao,nao
132420,SP,Piracicaba,Coleta/Entrega,Bitrenzão,13797.0,1360,375.0,2,nao,nao
132423,SP,Taquaritinga,Coleta/Entrega,Carreta,50089.0,1873,325.0,2,nao,nao
132424,SP_RM,Mogi das Cruzes,Diária,Bi-Truck,91658.0,159,270.0,16,nao,nao
132425,SP,Amparo,Coleta/Entrega,Truck,126356.0,3423,238.33333333333334,12,nao,nao
132426,SP_RM,Guarulhos,Coleta/Entrega,Carreta,,887,305.0,2,sim,nao
132427,SP_RM,Guarulhos,Coleta/Entrega,Carreta,249529.0,887,305.0,3,nao,nao
132428,SP_RM,Guarulhos,Coleta/Entrega,Carreta,,887,305.0,3,sim,nao
132430,PE,Jaboatão dos Guararapes,Coleta/Entrega,Manobrista,81355.0,950,186.66666666666666,9,nao,nao
132431,BA,Campo Formoso,Diária,Carreta,99103.0,1374,355.0,9,nao,nao
132435,SP,Sumaré,Diária,Truck,176390.0,556,325.0,2,nao,nao
132436,RJ,Paraíba do Sul,Coleta/Entrega,Carreta,68360.0,991,305.0,14,nao,nao
132437,SP,Campinas,Diária,Carreta,,276,372.0,1,sim,nao
132438,SP,Campinas,Diária,Carreta,81755.0,276,372.0,1,nao,nao
132440,SP_RM,Barueri,Diária,Carreta,66486.0,3746,372.0,4,nao,nao
132451,SC,Joinville,Diária,3/4,304332.0,3834,220.0,7,nao,nao
132452,RS,Lajeado,Diária,Vanderleia,303663.0,618,325.0,29,nao,nao
132453,SP_RM,Barueri,Diária,Carreta,18547.0,2792,305.0,6,nao,nao
132456,SP_RM,Guarulhos,Coleta/Entrega,Truck,60381.0,3271,266.25,16,nao,nao
132457,SP_RM,Guarulhos,Coleta/Entrega,Truck,214423.0,3271,277.3333333333333,9,nao,nao
132459,SP_RM,Guarulhos,Coleta/Entrega,Truck,24498.0,3271,269.75,16,nao,nao
132460,MG,Contagem,Coleta/Entrega,Utilitários,70163.0,1456,220.0,1,nao,nao
132461,MG,Contagem,Coleta/Entrega,Utilitários,237015.0,1456,188.57142857142858,14,nao,nao
132462,SP_RM,Guarulhos,Coleta/Entrega,Vanderleia,56523.0,3271,305.0,21,nao,nao
132463,SP_RM,São Paulo,Diária,Carreta,49912.0,265,327.875,16,nao,nao
132464,SP,Jacareí,Diária,Carreta,39108.0,3323,305.0,1,nao,nao
132465,SP,Jacareí,Diária,Carreta,,3323,355.0,1,sim,sim
132470,PR,São José dos Pinhais,Diária,Utilitários,,3407,160.0,2,sim,nao
132471,PR,São José dos Pinhais,Diária,Utilitários,,3407,160.0,2,sim,nao
132473,RJ,Paraíba do Sul,Coleta/Entrega,Carreta,,991,305.0,8,sim,nao
132474,PR,São José dos Pinhais,Diária,3/4,109330.0,3407,220.0,3,nao,nao
132475,SP_RM,São Paulo,Ajudante,,273278.0,2230,130.0,2,nao,nao
132476,SP_RM,São Paulo,Ajudante,,219924.0,2230,140.0,1,nao,nao
132477,SP,Itupeva,Diária,Carreta,239768.0,2124,390.14285714285717,7,nao,nao
132478,SP,Itupeva,Diária,Carreta,37363.0,2124,372.0,17,nao,nao
132480,RS,Cachoeirinha,Ajudante,,306083.0,642,150.0,1,nao,nao
132482,SP_RM,Guarulhos,Ajudante,,281359.0,3495,150.0,1,nao,nao
132483,SP_RM,Guarulhos,Ajudante,,,3495,150.0,1,sim,nao
132484,SP_RM,Guarulhos,Ajudante,,147325.0,3495,150.0,1,nao,nao
132486,MS,Campo Grande,Diária,Bitrenzão,,1698,432.5,2,sim,nao
132491,SP_RM,Santana de Parnaíba,Coleta/Entrega,3/4,177915.0,1114,270.0,11,nao,nao
132492,RS,Canoas,Diária,Carreta,1486.0,1098,305.0,30,nao,nao
132493,SP,Amparo,Coleta/Entrega,Truck,178006.0,3423,260.0,10,nao,nao
132494,SP,Amparo,Coleta/Entrega,Truck,52351.0,3423,260.0,5,nao,nao
132495,SP,Amparo,Coleta/Entrega,Truck,299407.0,3423,260.0,10,nao,nao
132496,SP,São Vicente,Diária,Carreta,36376.0,193,385.0,2,nao,nao
132497,PR,São José dos Pinhais,Diária,Vanderleia,,309,305.0,11,sim,nao
132499,SP_RM,Guarulhos,Coleta/Entrega,Bitrenzão,312531.0,1360,375.0,1,nao,nao
132501,RS,Cachoeirinha,Coleta/Entrega,Truck,168629.0,652,260.0,2,nao,nao
132502,RS,Cachoeirinha,Coleta/Entrega,Toco,254411.0,652,230.0,2,nao,nao
132504,SP,Itupeva,Diária,Vanderleia,183122.0,2121,305.0,33,nao,nao
132505,SP,Itupeva,Diária,Vanderleia,92666.0,2121,350.0,7,nao,nao
132506,SP,Americana,Diária,Carreta,154404.0,2129,305.0,37,nao,sim
132509,SP,Itupeva,Diária,Vanderleia,5415.0,2121,305.0,14,nao,nao
132510,SP,Americana,Diária,Carreta,12124.0,2129,305.0,18,nao,sim
132512,GO,Mozarlândia,Diária,Carreta,80890.0,3762,305.0,20,nao,nao
132513,SC,Joinville,Coleta/Entrega,3/4,,1692,220.0,6,sim,nao
132514,MT,Cuiabá,Coleta/Entrega,3/4,151574.0,421,220.0,2,nao,nao
132520,DF,Brasília,Diária,Carreta,27331.0,3436,305.0,28,nao,nao
132532,SP,Jacareí,Diária,Carreta,,3226,305.0,13,sim,nao
