mes,uf,de_type,freight_id,vehicle,price,price_por_dia,contract_days,encontrou_motorista,qt_atividades_falcon,qt_horas_falcon
2025-01-01,SP,Coleta/Entrega,136667,3/4,1760,220.0,8,nao,14.0,48.0
2025-01-01,MG,Coleta/Entrega,136668,Bi-Truck,324,324.0,1,sim,18.0,59.0
2025-01-01,SP,Coleta/Entrega,136687,Truck,1066,266.5,4,sim,10.0,9.0
2025-01-01,MG,Ajudante,136693,,150,150.0,1,sim,10.0,4.0
2025-01-01,SC,Diária,136697,Bitrem,4500,375.0,12,sim,2.0,1.0
2025-01-01,SC,Diária,136700,Bitrem,3937,357.90909090909093,11,sim,17.0,22.0
2025-01-01,SP,Diária,136702,Bitrem,4500,375.0,12,sim,4.0,6.0
2025-01-01,SP,Coleta/Entrega,136704,Carreta,610,305.0,2,sim,12.0,2.0
2025-01-01,SP,Ajudante,136714,,625,125.0,5,sim,1.0,1.0
2025-01-01,MG,Coleta/Entrega,136720,Bi-Truck,1113,278.25,4,sim,7.0,1.0
2025-01-01,SP,Coleta/Entrega,136727,Bi-Truck,287,287.0,1,sim,12.0,2.0
2025-01-01,RS,Coleta/Entrega,136729,Toco,690,230.0,3,sim,12.0,2.0
2025-01-01,SP,Diária,136730,Carreta,2135,305.0,7,sim,6.0,2.0
2025-01-01,SP,Ajudante,136732,,150,150.0,1,nao,6.0,2.0
2025-01-01,SP,Coleta/Entrega,136733,3/4,220,220.0,1,sim,15.0,2.0
2025-01-01,PR,Diária,136734,Vanderleia,1525,305.0,5,sim,18.0,22.0
2025-01-01,SP,Diária,136740,Carreta,3050,305.0,10,nao,8.0,7.0
2025-01-01,SC,Coleta/Entrega,136744,3/4,520,260.0,2,sim,8.0,1.0
2025-01-01,SP,Ajudante,136748,,600,150.0,4,sim,7.0,2.0
2025-01-01,MS,Coleta/Entrega,136769,Toco,920,230.0,4,sim,6.0,1.0
2025-01-01,MS,Coleta/Entrega,136770,Toco,230,230.0,1,sim,10.0,2.0
2025-01-01,RS,Diária,136773,Carreta,4980,311.25,16,sim,6.0,2.0
2025-01-01,RS,Coleta/Entrega,136775,3/4,682,227.33333333333334,3,sim,6.0,1.0
