mes,uf,de_type,freight_id,price,contract_days,encontrou_motorista,qt_atividades_falcon,qt_horas_falcon,uf_ajustado,sucesso,resultado,esforco,eficiencia
2025-02-01,SP_RM,Ajudante,142491,150,1,1,12.0,3.0,SP_RM,1,0.5979802837220485,0.7356122883018645,0.084564976584665
2025-02-01,SP_RM,Ajudante,142492,750,5,0,13.0,3.0,SP_RM,0,0.0885382950783287,0.7732541978664482,0.00987922978524503
2025-02-01,SP_RM,Ajudante,142494,750,5,1,3.0,1.0,SP_RM,1,0.8307285405145467,0.196078251209502,0.4507021572481669
2025-02-01,SP_RM,Diária,142502,457,2,1,8.0,3.0,SP_RM,1,0.6085597499398894,0.2940201403478313,0.2189743959729705
2025-02-01,SP_RM,Diária,142506,1982,6,1,7.0,2.0,SP_RM,1,0.6554116717617559,0.22269292208295652,0.312366713882589
2025-02-01,RJ,Diária,142509,7700,22,1,7.0,4.0,RJ,1,0.5919348744547109,0.29120694890750065,0.21500757951588775
2025-02-01,SP,Diária,142510,5490,18,1,1.0,1.0,SP,1,1.0,0.05597239673442607,1.0
2025-02-01,RS,Diária,142513,3797,12,1,10.0,3.0,RS,1,0.6022120702091849,0.31901287264541967,0.19950592262674124
2025-02-01,SP,Ajudante,142514,360,2,1,7.0,2.0,SP,1,0.6554116717617559,0.3525525318862389,0.19643795855197357
2025-02-01,SP,Diária,142527,8690,22,1,1.0,1.0,SP,1,1.0,0.05597239673442607,1.0
2025-02-01,MT,Diária,142532,2062,6,1,2.0,1.0,MT,1,0.8730464053859102,0.04676412665690311,1.0
2025-02-01,SP_RM,Coleta/Entrega,142540,660,3,1,11.0,2.0,SP_RM,1,0.6422216879057465,0.4095589145095875,0.16532260954242176
2025-02-01,SP,Diária,142559,5280,16,0,3.0,1.0,SP,0,0.322914162058187,0.09589874203855166,0.35772161913547806
2025-02-01,SP_RM,Diária,142560,2440,8,0,6.0,2.0,SP_RM,0,0.15364270257273377,0.20324004437435428,0.0784764729640201
2025-02-01,MS,Ajudante,142571,900,6,1,6.0,1.0,MS,1,0.7884106756431836,0.23017792553747948,0.36392210682267917
2025-02-01,SP_RM,Coleta/Entrega,142572,440,2,1,11.0,1.0,SP_RM,1,0.7691752825198366,0.33987976063213565,0.23964462687789512
2025-02-01,SP_RM,Coleta/Entrega,142573,160,1,0,10.0,3.0,SP_RM,0,0.09439769175282518,0.4531083856829947,0.019913535211568814
2025-02-01,SP_RM,Ajudante,142580,750,5,1,1.0,1.0,SP_RM,1,1.0,0.1207944320803351,0.88292609941228
2025-02-01,BA,Diária,142618,1830,6,1,19.0,8.0,BA,1,0.5372875564723302,0.6022454014531841,0.0930386730022982
2025-02-01,SP_RM,Diária,142619,230,1,1,8.0,3.0,SP_RM,1,0.6085597499398894,0.2940201403478313,0.2189743959729705
2025-02-01,SP_RM,Ajudante,142635,600,4,1,5.0,1.0,SP_RM,1,0.796874248617456,0.2713620703386688,0.31166663271721434
