uf,mes,de_type,freight_id,price,price_por_dia,contract_days,encontrou_motorista,qt_atividades_falcon,qt_horas_falcon,uf_ajustado,sucesso
SP,2025-02-01,Coleta/Entrega,139910,225,225.0,1,sim,2.0,1.0,SP,1
SP_RM,2025-02-01,Coleta/Entrega,139924,9500,243.5897435897436,39,sim,2.0,1.0,SP_RM,1
SP_RM,2025-02-01,Ajudante,139927,1700,154.54545454545453,11,nao,16.0,20.0,SP_RM,0
SP,2025-02-01,Coleta/Entrega,139930,305,305.0,1,nao,3.0,1.0,SP,0
PR,2025-02-01,Diária,139932,975,325.0,3,sim,1.0,1.0,PR,1
SP_RM,2025-02-01,Coleta/Entrega,139938,305,305.0,1,sim,13.0,6.0,SP_RM,1
SP_RM,2025-02-01,Coleta/Entrega,139939,305,305.0,1,nao,5.0,2.0,SP_RM,0
SP_RM,2025-02-01,Coleta/Entrega,139940,305,305.0,1,nao,8.0,5.0,SP_RM,0
ES,2025-02-01,Diária,139946,744,372.0,2,sim,6.0,5.0,ES,1
SP_RM,2025-02-01,Ajudante,139951,220,220.0,1,sim,4.0,1.0,SP_RM,1
SP_RM,2025-02-01,Ajudante,139954,220,220.0,1,sim,4.0,1.0,SP_RM,1
SP,2025-02-01,Diária,139972,372,372.0,1,sim,6.0,4.0,SP,1
SP,2025-02-01,Diária,139973,305,305.0,1,sim,15.0,10.0,SP,1
SP,2025-02-01,Diária,139978,240,240.0,1,sim,6.0,2.0,SP,1
RS,2025-02-01,Diária,139983,8845,305.0,29,sim,3.0,1.0,RS,1
SP,2025-02-01,Coleta/Entrega,139984,270,270.0,1,sim,3.0,4.0,SP,1
RS,2025-02-01,Diária,139986,3050,305.0,10,sim,4.0,3.0,RS,1
RS,2025-02-01,Diária,139989,5642,313.44444444444446,18,sim,3.0,1.0,RS,1
SC,2025-02-01,Diária,139993,650,325.0,2,nao,13.0,9.0,SC,0
RS,2025-02-01,Diária,139994,1220,305.0,4,nao,13.0,14.0,RS,0
SP,2025-02-01,Ajudante,140015,370,185.0,2,sim,12.0,4.0,SP,1
SP,2025-02-01,Ajudante,140021,4625,185.0,25,sim,6.0,2.0,SP,1
SP,2025-02-01,Diária,140026,1220,305.0,4,nao,3.0,1.0,SP,0
SP,2025-02-01,Diária,140029,3965,305.0,13,sim,2.0,1.0,SP,1
SP_RM,2025-02-01,Coleta/Entrega,140031,660,220.0,3,sim,12.0,4.0,SP_RM,1
PR,2025-02-01,Coleta/Entrega,140048,4830,230.0,21,sim,7.0,1.0,PR,1
SP,2025-02-01,Coleta/Entrega,140059,370,185.0,2,sim,9.0,2.0,SP,1
SP,2025-02-01,Coleta/Entrega,140064,2656,265.6,10,sim,12.0,1.0,SP,1
MT,2025-02-01,Coleta/Entrega,140068,880,220.0,4,sim,6.0,1.0,MT,1
SP_RM,2025-02-01,Coleta/Entrega,140071,518,259.0,2,sim,5.0,1.0,SP_RM,1
SP_RM,2025-02-01,Coleta/Entrega,140080,440,220.0,2,sim,12.0,2.0,SP_RM,1
SC,2025-02-01,Ajudante,140081,540,180.0,3,sim,2.0,1.0,SC,1
SC,2025-02-01,Ajudante,140082,720,180.0,4,nao,5.0,2.0,SC,0
SP_RM,2025-02-01,Diária,140090,7540,260.0,29,sim,24.0,13.0,SP_RM,1
MG,2025-02-01,Diária,140101,1020,340.0,3,nao,10.0,2.0,MG,0
SP,2025-02-01,Diária,140108,1830,305.0,6,sim,3.0,1.0,SP,1
CE,2025-02-01,Ajudante,140109,150,150.0,1,nao,8.0,2.0,CE,0
SP_RM,2025-02-01,Diária,140123,520,260.0,2,sim,5.0,3.0,SP_RM,1
PR,2025-02-01,Diária,140130,9150,305.0,30,sim,5.0,1.0,PR,1
SP_RM,2025-02-01,Ajudante,140134,120,120.0,1,nao,7.0,2.0,SP_RM,0
SP_RM,2025-02-01,Coleta/Entrega,140136,260,260.0,1,sim,7.0,2.0,SP_RM,1
SP_RM,2025-02-01,Coleta/Entrega,140138,260,260.0,1,sim,13.0,8.0,SP_RM,1
SP_RM,2025-02-01,Coleta/Entrega,140141,260,260.0,1,nao,21.0,12.0,SP_RM,0
SP,2025-02-01,Diária,140144,8235,305.0,27,sim,4.0,1.0,SP,1
SP,2025-02-01,Diária,140146,915,305.0,3,sim,12.0,13.0,SP,1
SP,2025-02-01,Coleta/Entrega,140155,305,305.0,1,sim,8.0,8.0,SP,1
SP,2025-02-01,Diária,140173,1220,305.0,4,nao,4.0,13.0,SP,0
SC,2025-02-01,Diária,140217,1040,260.0,4,sim,14.0,22.0,SC,1
SP,2025-02-01,Coleta/Entrega,140219,276,276.0,1,sim,4.0,1.0,SP,1
MG,2025-02-01,Diária,140221,4079,313.7692307692308,13,sim,5.0,2.0,MG,1
RJ,2025-02-01,Coleta/Entrega,140227,915,305.0,3,sim,13.0,1.0,RJ,1
SP,2025-02-01,Ajudante,140232,125,125.0,1,sim,2.0,1.0,SP,1
SP,2025-02-01,Diária,140233,470,235.0,2,sim,3.0,2.0,SP,1
SC,2025-02-01,Ajudante,140234,640,160.0,4,sim,15.0,10.0,SC,1
SP,2025-02-01,Diária,140244,8235,305.0,27,sim,21.0,28.0,SP,1
SP_RM,2025-02-01,Coleta/Entrega,140245,960,160.0,6,sim,8.0,1.0,SP_RM,1
MG,2025-02-01,Ajudante,140246,150,150.0,1,nao,6.0,4.0,MG,0
ES,2025-02-01,Coleta/Entrega,140249,460,230.0,2,sim,2.0,1.0,ES,1
PR,2025-02-01,Diária,140253,1625,325.0,5,sim,11.0,3.0,PR,1
SP_RM,2025-02-01,Ajudante,140260,150,150.0,1,sim,8.0,1.0,SP_RM,1
SP_RM,2025-02-01,Coleta/Entrega,140269,440,220.0,2,nao,8.0,8.0,SP_RM,0
RS,2025-02-01,Diária,140270,610,305.0,2,nao,11.0,10.0,RS,0
SP,2025-02-01,Coleta/Entrega,140271,1855,265.0,7,sim,10.0,2.0,SP,1
SP_RM,2025-02-01,Ajudante,140274,720,180.0,4,sim,6.0,1.0,SP_RM,1
RJ,2025-02-01,Coleta/Entrega,140286,230,230.0,1,sim,8.0,2.0,RJ,1
RJ,2025-02-01,Coleta/Entrega,140288,460,230.0,2,sim,5.0,1.0,RJ,1
SP_RM,2025-02-01,Ajudante,140299,140,140.0,1,sim,20.0,5.0,SP_RM,1
SP_RM,2025-02-01,Coleta/Entrega,140300,471,235.5,2,sim,12.0,2.0,SP_RM,1
SP,2025-02-01,Coleta/Entrega,140323,220,220.0,1,sim,12.0,1.0,SP,1
SP,2025-02-01,Coleta/Entrega,140328,270,270.0,1,sim,7.0,13.0,SP,1
SP,2025-02-01,Diária,140334,1525,305.0,5,sim,8.0,5.0,SP,1
BA,2025-02-01,Coleta/Entrega,140338,9880,260.0,38,sim,7.0,3.0,BA,1
SC,2025-02-01,Coleta/Entrega,140346,305,305.0,1,nao,10.0,8.0,SC,0
PR,2025-02-01,Diária,140351,3660,305.0,12,sim,6.0,8.0,PR,1
SC,2025-02-01,Diária,140355,610,305.0,2,nao,3.0,1.0,SC,0
SC,2025-01-01,Diária,140363,1525,305.0,5,sim,7.0,1.0,SC,1
MS,2025-02-01,Diária,140364,4575,305.0,15,sim,4.0,1.0,MS,1
SP,2025-02-01,Diária,140365,266,266.0,1,nao,4.0,1.0,SP,0
MT,2025-02-01,Diária,140367,1830,305.0,6,sim,4.0,11.0,MT,1
SP_RM,2025-02-01,Diária,140369,671,335.5,2,sim,6.0,2.0,SP_RM,1
SP,2025-02-01,Diária,140370,7625,305.0,25,sim,5.0,1.0,SP,1
SP,2025-02-01,Diária,140371,3965,305.0,13,sim,21.0,15.0,SP,1
PR,2025-02-01,Diária,140381,1525,305.0,5,sim,6.0,1.0,PR,1
RJ,2025-02-01,Diária,140389,6100,305.0,20,sim,8.0,4.0,RJ,1
GO,2025-02-01,Coleta/Entrega,140393,5520,190.3448275862069,29,sim,2.0,1.0,GO,1
SC,2025-02-01,Coleta/Entrega,140396,220,220.0,1,sim,5.0,1.0,SC,1
PR,2025-02-01,Diária,140400,610,305.0,2,sim,14.0,4.0,PR,1
SP_RM,2025-02-01,Ajudante,140404,135,135.0,1,sim,10.0,3.0,SP_RM,1
SP,2025-02-01,Coleta/Entrega,140411,305,305.0,1,sim,12.0,1.0,SP,1
SP_RM,2025-02-01,Ajudante,140418,135,135.0,1,nao,6.0,2.0,SP_RM,0
SP_RM,2025-02-01,Ajudante,140419,135,135.0,1,nao,15.0,7.0,SP_RM,0
SP,2025-02-01,Diária,140423,366,366.0,1,nao,8.0,2.0,SP,0
SP_RM,2025-02-01,Coleta/Entrega,140424,366,366.0,1,nao,2.0,1.0,SP_RM,0
SP_RM,2025-02-01,Diária,140429,10416,372.0,28,sim,4.0,1.0,SP_RM,1
SP,2025-02-01,Diária,140438,8235,305.0,27,sim,5.0,3.0,SP,1
PR,2025-02-01,Ajudante,140444,150,150.0,1,nao,15.0,16.0,PR,0
SP,2025-02-01,Coleta/Entrega,140445,305,305.0,1,sim,2.0,1.0,SP,1
SC,2025-02-01,Diária,140446,4270,305.0,14,sim,19.0,23.0,SC,1
SP_RM,2025-02-01,Coleta/Entrega,140448,915,305.0,3,sim,20.0,15.0,SP_RM,1
SP_RM,2025-02-01,Ajudante,140451,750,125.0,6,sim,1.0,1.0,SP_RM,1
SC,2025-02-01,Diária,140454,8250,330.0,25,sim,4.0,32.0,SC,1
SP,2025-02-01,Coleta/Entrega,140457,276,276.0,1,sim,4.0,5.0,SP,1
SP,2025-02-01,Ajudante,140459,180,180.0,1,nao,7.0,2.0,SP,0
SP_RM,2025-02-01,Diária,140462,2440,305.0,8,sim,11.0,5.0,SP_RM,1
SP_RM,2025-02-01,Ajudante,140472,150,150.0,1,sim,2.0,1.0,SP_RM,1
SP_RM,2025-02-01,Diária,140475,533,266.5,2,sim,6.0,2.0,SP_RM,1
RJ,2025-02-01,Coleta/Entrega,140478,2135,305.0,7,nao,10.0,4.0,RJ,0
SP_RM,2025-02-01,Ajudante,140490,150,150.0,1,sim,10.0,20.0,SP_RM,1
SP_RM,2025-02-01,Ajudante,140492,120,120.0,1,sim,5.0,1.0,SP_RM,1
SP,2025-02-01,Coleta/Entrega,140505,240,240.0,1,sim,10.0,6.0,SP,1
SP,2025-02-01,Coleta/Entrega,140507,231,231.0,1,sim,9.0,3.0,SP,1
SP_RM,2025-02-01,Coleta/Entrega,140510,1040,260.0,4,sim,12.0,2.0,SP_RM,1
SP_RM,2025-02-01,Coleta/Entrega,140524,260,260.0,1,sim,5.0,1.0,SP_RM,1
SC,2025-02-01,Coleta/Entrega,140530,676,135.2,5,nao,15.0,4.0,SC,0
SP_RM,2025-02-01,Coleta/Entrega,140537,231,231.0,1,sim,8.0,3.0,SP_RM,1
SP_RM,2025-02-01,Diária,140547,7800,260.0,30,sim,1.0,1.0,SP_RM,1
MS,2025-02-01,Diária,140548,5530,395.0,14,sim,18.0,5.0,MS,1
GO,2025-02-01,Coleta/Entrega,140549,220,220.0,1,sim,8.0,2.0,GO,1
PB,2025-02-01,Diária,140555,366,366.0,1,nao,15.0,29.0,PB,0
SP,2025-02-01,Diária,140557,305,305.0,1,nao,5.0,2.0,SP,0
GO,2025-02-01,Diária,140559,5642,296.94736842105266,19,sim,4.0,1.0,GO,1
SP,2025-02-01,Diária,140561,2592,288.0,9,sim,6.0,5.0,SP,1
RJ,2025-02-01,Diária,140565,4050,270.0,15,nao,4.0,1.0,RJ,0
SP_RM,2025-02-01,Coleta/Entrega,140566,230,230.0,1,sim,8.0,2.0,SP_RM,1
SP_RM,2025-02-01,Diária,140570,5670,270.0,21,sim,5.0,4.0,SP_RM,1
SC,2025-02-01,Diária,140574,4950,330.0,15,nao,2.0,30.0,SC,0
SC,2025-02-01,Diária,140577,1890,270.0,7,nao,18.0,8.0,SC,0
SP_RM,2025-02-01,Coleta/Entrega,140580,305,305.0,1,sim,14.0,23.0,SP_RM,1
SP,2025-02-01,Ajudante,140582,875,175.0,5,sim,2.0,1.0,SP,1
SP,2025-02-01,Ajudante,140584,150,150.0,1,nao,11.0,3.0,SP,0
SP_RM,2025-02-01,Coleta/Entrega,140636,260,260.0,1,sim,6.0,2.0,SP_RM,1
SP_RM,2025-02-01,Coleta/Entrega,140637,260,260.0,1,sim,7.0,1.0,SP_RM,1
SP_RM,2025-02-01,Ajudante,140654,170,170.0,1,nao,1.0,1.0,SP_RM,0
RJ,2025-02-01,Coleta/Entrega,140658,6100,305.0,20,sim,16.0,5.0,RJ,1
SP_RM,2025-02-01,Coleta/Entrega,140689,260,260.0,1,sim,16.0,5.0,SP_RM,1
SP_RM,2025-02-01,Coleta/Entrega,140704,220,220.0,1,sim,8.0,2.0,SP_RM,1
RJ,2025-02-01,Coleta/Entrega,140725,280,280.0,1,nao,14.0,2.0,RJ,0
